numeor epoch;batch_size;nb_epochs;learning_rate;input_size;hidden_size;output_size;weight_init_range;Training Loss;Validation Loss;Test Loss;Accuracy
4;4;10;0,001;784;256;10;(-0,001, 0,001);0,410682616;0,383835233;0,367531638;89,57142857
5;4;10;0,001;784;256;10;(-0,001, 0,001);0,365844894;0,349391873;0,3327309;90,62857143
6;4;10;0,001;784;256;10;(-0,001, 0,001);0,336883782;0,327939884;0,311642097;91,14285714
7;4;10;0,001;784;256;10;(-0,001, 0,001);0,315416762;0,310609853;0,292429524;91,51428571
8;4;10;0,001;784;256;10;(-0,001, 0,001);0,297856372;0,295308087;0,2783779;91,97142857
9;4;10;0,001;784;256;10;(-0,001, 0,001);0,282865014;0,282241928;0,265257863;92,32857143
10;4;10;0,001;784;256;10;(-0,001, 0,001);0,26936089;0,270788134;0,254489311;92,58571429
1;5;10;0,001;784;256;10;(-0,001, 0,001);2,267040858;2,029445764;2,032275476;37,32857143
2;5;10;0,001;784;256;10;(-0,001, 0,001);1,225392467;0,749367947;0,737442377;80,12857143
3;5;10;0,001;784;256;10;(-0,001, 0,001);0,604356795;0,50197384;0,485014871;87,38571429
4;5;10;0,001;784;256;10;(-0,001, 0,001);0,457126366;0,417404317;0,40155907;89,07142857
5;5;10;0,001;784;256;10;(-0,001, 0,001);0,39726783;0,375561868;0,360939696;89,88571429
6;5;10;0,001;784;256;10;(-0,001, 0,001);0,363526976;0,350159847;0,335969155;90,6
7;5;10;0,001;784;256;10;(-0,001, 0,001);0,340559464;0,331311883;0,31565768;90,97142857
8;5;10;0,001;784;256;10;(-0,001, 0,001);0,322734406;0,316163624;0,301527265;91,3
9;5;10;0,001;784;256;10;(-0,001, 0,001);0,308198466;0,304463585;0,289738357;91,51428571
10;5;10;0,001;784;256;10;(-0,001, 0,001);0,296136958;0,293774911;0,279231526;91,82857143
1;2;10;0,0025;784;256;10;(-0,001, 0,001);0,876560918;0,348639766;0,34243407;90,18571429
2;2;10;0,0025;784;256;10;(-0,001, 0,001);0,315907242;0,266075268;0,263958356;92,15714286
3;2;10;0,0025;784;256;10;(-0,001, 0,001);0,250699885;0,222100721;0,219468074;93,47142857
4;2;10;0,0025;784;256;10;(-0,001, 0,001);0,205545917;0,187381061;0,183969038;94,57142857
5;2;10;0,0025;784;256;10;(-0,001, 0,001);0,17312085;0,168090392;0,160420051;95,25714286
6;2;10;0,0025;784;256;10;(-0,001, 0,001);0,149656057;0,149017586;0,141415174;95,84285714
7;2;10;0,0025;784;256;10;(-0,001, 0,001);0,130981544;0,137428551;0,129338534;96,34285714
8;2;10;0,0025;784;256;10;(-0,001, 0,001);0,116183644;0,12892861;0,121971791;96,35714286
9;2;10;0,0025;784;256;10;(-0,001, 0,001);0,104272932;0,118606803;0,110760535;96,88571429
10;2;10;0,0025;784;256;10;(-0,001, 0,001);0,093809781;0,113716672;0,106391302;96,77142857
1;3;10;0,0025;784;256;10;(-0,001, 0,001);1,11062038;0,428571718;0,402357447;88,91428571
2;3;10;0,0025;784;256;10;(-0,001, 0,001);0,356204571;0,336993685;0,305359077;91,24285714
3;3;10;0,0025;784;256;10;(-0,001, 0,001);0,289935165;0,286079795;0,257992727;92,67142857
4;3;10;0,0025;784;256;10;(-0,001, 0,001);0,248545275;0,254509083;0,226311745;93,47142857
5;3;10;0,0025;784;256;10;(-0,001, 0,001);0,216118599;0,225691203;0,202234947;94,15714286
6;3;10;0,0025;784;256;10;(-0,001, 0,001);0,18999041;0,205648638;0,182741135;94,62857143
7;3;10;0,0025;784;256;10;(-0,001, 0,001);0,170549625;0,186834621;0,165840421;95,21428571
8;3;10;0,0025;784;256;10;(-0,001, 0,001);0,154337337;0,175264662;0,153565384;95,55714286
9;3;10;0,0025;784;256;10;(-0,001, 0,001);0,140217911;0,161964295;0,139887266;95,92857143
10;3;10;0,0025;784;256;10;(-0,001, 0,001);0,128932476;0,156274773;0,133657024;96,08571429
1;4;10;0,0025;784;256;10;(-0,001, 0,001);1,323104717;0,498110645;0,471702827;87,41428571
2;4;10;0,0025;784;256;10;(-0,001, 0,001);0,401933557;0,366140788;0,336031422;90,41428571
3;4;10;0,0025;784;256;10;(-0,001, 0,001);0,320320039;0,312996699;0,285104519;91,8
4;4;10;0,0025;784;256;10;(-0,001, 0,001);0,277437731;0,281460558;0,257402997;92,38571429
